date,time,venue,topic,presenter,paper_authors,paper_title,paper_venue,paper_year,slides_link,paper_link,arxiv_link
2023-01-31,,,,Nona Rajabi,Non-contrastive self-supervised vision learning-- Doersch et al.,Unsupervised visual representation learning by context prediction,", ICCV 2015-- Gidaris et al., ""Unsupervised representation learning by predicting image rotations"", ICLR",2018,,,
2023-02-14,,,,Farzaneh Taleb Najafabadi,Contrastive self-supervised vision learning-- Chen et al.,A Simple Framework for Contrastive Learning of Visual Representations,", ICML 2020-- Chen et al., ""Big Self-Supervised Models are Strong Semi-Supervised Learners"", NeurIPS",2020,,,
2023-02-28,,,,Marcel Büsching,FixMatch revisited,FixMatch: Simplifying Semi-Supervised Learning with Consistency and Confidence,"a current analysis of semi-supervised learning.-- Sohn et al., , NeurIPS 2020-- Grill et al., ""Bootstrap your own latent: A new approach to self-supervised Learning"", NeurIPS 2020-- Wei et al., ""Theoretical Analysis of Self-Training with Deep Networks on Unlabeled Data"", ICLR",2021,,,
2023-03-14,,,,TBD,TBD,,,,,,
2023-03-28,,,,Sebastian Gerard,Bardes et al.,VICRegL: Self-Supervised Learning of Local Visual Features,", NeurIPS",2022,,,
,,,,Carl Doersch (Invited Seminar),"""Learning and transferring visual representations with few labels: BYOL + CrossTransformers""",,,,http://www.csc.kth.se/cvap/cvg/ml-seminars/,,
2021-06-15,,,,Johan Haslum,Zbontar et al.,Barlow Twins: Self-Supervised Learning via Redundancy Reduction,", ICML",2021,,,
2021-06-01,,,,Giovanni Luca Marchetti,Chen et al.,A Simple Framework for Contrastive Learning of Visual Representations,", ICML",2020,https://www.csc.kth.se/cvap/cvg/rg/materials/giovanni_001_slides.pdf,,
,,,,Mathilde Caron (Invited Seminar),Self-Supervised Learning of Visual Representations,,,,http://www.csc.kth.se/cvap/cvg/ml-seminars/,,
2021-05-04,,,,Sebastian Gerard,Samuli Laine,Temporal Ensembling for Semi-Supervised Learning,"Timo Aila., , ICLR 2017Pham et al., ""Meta Pseudo Labels"", arXiv",2021,https://www.csc.kth.se/cvap/cvg/rg/materials/gerard_001_slides.pdf,,
